"yaw [deg], yaw_time [ms], yaw_crc"
"2.15,14374,14376.15"
"2.16,14389,14391.16"
"2.16,14404,14406.16"
"2.16,14419,14421.16"
"2.16,14434,14436.16"
"2.16,14449,14451.16"
"2.16,14464,14466.16"
"2.16,14479,14481.16"
"2.16,14494,14496.16"
"2.16,14509,14511.16"
"2.16,14524,14526.16"
"2.16,14539,14541.16"
"2.15,14554,14556.15"
"2.15,14569,14571.15"
"2.14,14584,14586.14"
"2.13,14599,14601.13"
"2.13,14614,14616.13"
"2.12,14629,14631.12"
"2.12,14644,14646.12"
"2.12,14659,14661.12"
"2.12,14674,14676.12"
"2.12,14689,14691.12"
"2.13,14704,14706.13"
"2.13,14719,14721.13"
"2.13,14734,14736.13"
"2.13,14749,14751.13"
"2.14,14764,14766.14"
"2.15,14779,14781.15"
"2.15,14794,14796.15"
"2.16,14809,14811.16"
"2.16,14824,14826.16"
"2.16,14839,14841.16"
"2.16,14854,14856.16"
"2.16,14869,14871.16"
"2.16,14884,14886.16"
"2.15,14899,14901.15"
"2.15,14914,14916.15"
"2.14,14929,14931.14"
"2.14,14944,14946.14"
"2.14,14959,14961.14"
"2.13,14974,14976.13"
"2.13,14989,14991.13"
